run_id,constraint_met,F1_neg,F1_pos,Recall_neg,Recall_pos,Precision_neg,Precision_pos,Macro_F1,PR_AUC_neg,threshold,penalty,C,class_weight,ngram_range,min_df,max_df,sublinear_tf,stopwords_enabled,n_features,coef_sparsity,runtime_seconds,Brier_Score,ECE,confusion_matrix
run.2026-01-10_004,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.943812,0.485286,l2,5.000000,,"(1, 1)",2,0.900000,True,False,8377,1.198520,7.872880,0.039490,0.009186,"[[432, 47], [60, 1532]]"
run.2026-01-10_012,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.943812,0.485286,l2,5.000000,,"(1, 1)",2,0.950000,True,False,8377,1.198520,7.728070,0.039490,0.009186,"[[432, 47], [60, 1532]]"
run.2026-01-10_020,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.943812,0.485286,l2,5.000000,,"(1, 1)",2,1.000000,True,False,8377,1.198520,7.676345,0.039490,0.009186,"[[432, 47], [60, 1532]]"
run.2026-01-10_028,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.942371,0.507198,l2,5.000000,,"(1, 1)",5,0.900000,True,False,4112,0.004864,7.696624,0.039992,0.009183,"[[432, 47], [60, 1532]]"
run.2026-01-10_036,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.942371,0.507198,l2,5.000000,,"(1, 1)",5,0.950000,True,False,4112,0.004864,7.724647,0.039992,0.009183,"[[432, 47], [60, 1532]]"
run.2026-01-10_044,True,0.889804,0.966257,0.901879,0.962312,0.878049,0.970234,0.928031,0.942371,0.507198,l2,5.000000,,"(1, 1)",5,1.000000,True,False,4112,0.004864,7.589223,0.039992,0.009183,"[[432, 47], [60, 1532]]"
run.2026-01-10_075,True,0.889796,0.965844,0.910230,0.959171,0.870259,0.972611,0.927820,0.937645,0.419124,l2,3.000000,,"(1, 2)",2,0.900000,True,False,38624,1.690141,10.581746,0.040996,0.011282,"[[436, 43], [65, 1527]]"
run.2026-01-10_083,True,0.889796,0.965844,0.910230,0.959171,0.870259,0.972611,0.927820,0.937645,0.419124,l2,3.000000,,"(1, 2)",2,0.950000,True,False,38624,1.690141,10.460792,0.040996,0.011282,"[[436, 43], [65, 1527]]"
run.2026-01-10_091,True,0.889796,0.965844,0.910230,0.959171,0.870259,0.972611,0.927820,0.937645,0.419124,l2,3.000000,,"(1, 2)",2,1.000000,True,False,38624,1.690141,10.873361,0.040996,0.011282,"[[436, 43], [65, 1527]]"
run.2026-01-10_055,True,0.889113,0.965079,0.920668,0.954774,0.859649,0.975610,0.927096,0.937713,0.348633,l2,3.000000,,"(1, 1)",10,0.900000,True,True,2420,0.000000,2.109090,0.040673,0.011126,"[[441, 38], [72, 1520]]"
run.2026-01-10_063,True,0.889113,0.965079,0.920668,0.954774,0.859649,0.975610,0.927096,0.937713,0.348633,l2,3.000000,,"(1, 1)",10,0.950000,True,True,2420,0.000000,2.402948,0.040673,0.011126,"[[441, 38], [72, 1520]]"
run.2026-01-10_071,True,0.889113,0.965079,0.920668,0.954774,0.859649,0.975610,0.927096,0.937713,0.348633,l2,3.000000,,"(1, 1)",10,1.000000,True,True,2420,0.000000,1.539667,0.040673,0.011126,"[[441, 38], [72, 1520]]"
run.2026-01-10_147,True,0.888889,0.965517,0.910230,0.958543,0.868526,0.972594,0.927203,0.938429,0.416114,l2,3.000000,,"(1, 3)",2,0.900000,True,False,63592,1.970059,12.629101,0.042265,0.014320,"[[436, 43], [66, 1526]]"
run.2026-01-10_155,True,0.888889,0.965517,0.910230,0.958543,0.868526,0.972594,0.927203,0.938429,0.416114,l2,3.000000,,"(1, 3)",2,0.950000,True,False,63592,1.970059,12.274927,0.042265,0.014320,"[[436, 43], [66, 1526]]"
run.2026-01-10_163,True,0.888889,0.965517,0.910230,0.958543,0.868526,0.972594,0.927203,0.938429,0.416114,l2,3.000000,,"(1, 3)",2,1.000000,True,False,63592,1.970059,12.321037,0.042265,0.014320,"[[436, 43], [66, 1526]]"
run.2026-01-10_174,True,0.888662,0.965539,0.908142,0.959171,0.870000,0.971992,0.927100,0.940462,0.415935,l2,1.000000,,"(1, 3)",5,0.900000,True,True,8639,0.011575,9.894728,0.041617,0.014333,"[[435, 44], [65, 1527]]"
run.2026-01-10_182,True,0.888662,0.965539,0.908142,0.959171,0.870000,0.971992,0.927100,0.940462,0.415935,l2,1.000000,,"(1, 3)",5,0.950000,True,True,8639,0.011575,8.248056,0.041617,0.014333,"[[435, 44], [65, 1527]]"
run.2026-01-10_190,True,0.888662,0.965539,0.908142,0.959171,0.870000,0.971992,0.927100,0.940462,0.415935,l2,1.000000,,"(1, 3)",5,1.000000,True,True,8639,0.011575,9.430720,0.041617,0.014333,"[[435, 44], [65, 1527]]"
run.2026-01-10_008,True,0.888662,0.965539,0.908142,0.959171,0.870000,0.971992,0.927100,0.939876,0.415641,l2,5.000000,,"(1, 1)",2,0.900000,True,True,8331,1.205137,7.647383,0.040052,0.011042,"[[435, 44], [65, 1527]]"
run.2026-01-10_016,True,0.888662,0.965539,0.908142,0.959171,0.870000,0.971992,0.927100,0.939876,0.415641,l2,5.000000,,"(1, 1)",2,0.950000,True,True,8331,1.205137,7.654559,0.040052,0.011042,"[[435, 44], [65, 1527]]"
run.2026-01-10_024,True,0.888662,0.965539,0.908142,0.959171,0.870000,0.971992,0.927100,0.939876,0.415641,l2,5.000000,,"(1, 1)",2,1.000000,True,True,8331,1.205137,7.566422,0.040052,0.011042,"[[435, 44], [65, 1527]]"
run.2026-01-10_032,True,0.888438,0.965146,0.914405,0.956658,0.863905,0.973785,0.926792,0.939315,0.359107,l2,5.000000,,"(1, 1)",5,0.900000,True,True,4066,0.004919,7.323654,0.040077,0.008760,"[[438, 41], [69, 1523]]"
run.2026-01-10_040,True,0.888438,0.965146,0.914405,0.956658,0.863905,0.973785,0.926792,0.939315,0.359107,l2,5.000000,,"(1, 1)",5,0.950000,True,True,4066,0.004919,7.427464,0.040077,0.008760,"[[438, 41], [69, 1523]]"
run.2026-01-10_048,True,0.888438,0.965146,0.914405,0.956658,0.863905,0.973785,0.926792,0.939315,0.359107,l2,5.000000,,"(1, 1)",5,1.000000,True,True,4066,0.004919,7.591740,0.040077,0.008760,"[[438, 41], [69, 1523]]"
